Fecha,NoRedion,Region,Estado,Municipio/Zona,Gasolina<92,Gasolina>92,Diésel
Enero,1,Acapulco,Guerrero,SAN LUIS ACATLÁN,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,TECOANAPA,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,IGUALAPA,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,OMETEPEC,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,AZOYU,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,AYUTLA DE LOS LIBRES,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,TECPAN DE GALEANA,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,COPALA,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,FLORENCIO VILLARREAL,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,ATOYAC DE ALVAREZ,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,SAN MARCOS_GRO,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,JUAN R ESCUDERO,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,COYUCA DE BENITEZ,15.89,17.65,16.96
Enero,1,Acapulco,Guerrero,ACAPULCO DE JUAREZ,15.89,17.65,16.96
Enero,2,Aguascaliente,Guanajuato,OCAMPO_GTO,16.16,17.93,17.23
Enero,2,Aguascaliente,Zacatecas,APULCO,16.16,17.93,17.23
Enero,2,Aguascaliente,Jalisco,VILLA HIDALGO_JAL,16.16,17.93,17.23
Enero,2,Aguascaliente,Jalisco,TEOCALTICHE,16.16,17.93,17.23
Enero,2,Aguascaliente,Jalisco,ENCARNACION DE DIAZ,16.16,17.93,17.23
Enero,2,Aguascaliente,Aguascaliente,TEPEZALA,16.16,17.93,17.23
Enero,2,Aguascaliente,Aguascaliente,SAN JOSE DE GRACIA,16.16,17.93,17.23
Enero,2,Aguascaliente,Aguascaliente,PABELLON DE ARTEAGA,16.16,17.93,17.23
Enero,2,Aguascaliente,Aguascaliente,SAN FRANCISCO DE LOS ROMO,16.16,17.93,17.23
Enero,2,Aguascaliente,Aguascaliente,AGUASCALIENTES,16.16,17.93,17.23
Enero,3,Añil,Estado de México,ATENCO,16.32,18.19,17.06
Enero,3,Añil,Estado de México,CHALCO,16.32,18.19,17.06
Enero,3,Añil,Estado de México,CHICOLOAPAN,16.32,18.19,17.06
Enero,3,Añil,Estado de México,IXTAPALUCA,16.32,18.19,17.06
Enero,3,Añil,Estado de México,CHIMALHUACAN,16.32,18.19,17.06
Enero,3,Añil,Estado de México,LA PAZ_MEX,16.32,18.19,17.06
Enero,3,Añil,Estado de México,NEZAHUALCOYOTL,16.32,18.19,17.06
Enero,3,Añil,Ciudad de México,COYOACAN,16.32,18.19,17.06
Enero,3,Añil,Ciudad de México,CUAUHTEMOC_CDMX,16.32,18.19,17.06
Enero,3,Añil,Ciudad de México,IZTACALCO,16.32,18.19,17.06
Enero,3,Añil,Ciudad de México,LA MAGDALENA CONTRERAS,16.32,18.19,17.06
Enero,3,Añil,Ciudad de México,MILPA ALTA,16.32,18.19,17.06
Enero,3,Añil,Ciudad de México,VENUSTIANO CARRANZA_CDMX,16.32,18.19,17.06
Enero,4,Azcapotzalco,Estado de México,MELCHOR OCAMPO,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,NICOLAS ROMERO,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,CUAUTITLAN,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,JILOTZINGO,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,CUAUTITLAN IZCALLI,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,TEPOTZOTLAN,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,ATIZAPAN DE ZARAGOZA,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,HUIXQUILUCAN,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,ATIZAPAN,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,NAUCALPAN DE JUAREZ,16.27,18.14,17.01
Enero,4,Azcapotzalco,Estado de México,TLALNEPANTLA DE BAZ,16.27,18.14,17.01
Enero,4,Azcapotzalco,Ciudad de México,AZCAPOTZALCO,16.27,18.14,17.01
Enero,5,Barranca del Muerto,Ciudad de México,GUSTAVO A MADERO,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,MIGUEL HIDALGO,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,XOCHIMILCO,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,BENITO JUAREZ_CDMX,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,CUAJIMALPA DE MORELOS,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,ALVARO OBREGON_CDMX,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,TLALPAN,16.33,18.2,17.07
Enero,5,Barranca del Muerto,Ciudad de México,TLAHUAC,16.33,18.2,17.07
Enero,6,Cadereyta,Nuevo León,MINA,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,CHINA,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,CERRALVO,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,SANTIAGO,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,MONTEMORELOS,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,HIDALGO_NL,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,ABASOLO_NL,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,CIENEGA DE FLORES,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,MARIN,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,GENERAL ZUAZUA,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,ALLENDE,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,PESQUERIA,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,LOS RAMONES,16.23,18.11,16.96
Enero,6,Cadereyta,Nuevo León,CADEREYTA JIMENEZ,16.23,18.11,16.96
Enero,7,Campeche,Campeche,CARMEN_CAMP,15.65,17.42,16.72
Enero,7,Campeche,Campeche,ESCARCEGA,15.65,17.42,16.72
Enero,7,Campeche,Campeche,CALKINI,15.65,17.42,16.72
Enero,7,Campeche,Campeche,CHAMPOTON,15.65,17.42,16.72
Enero,7,Campeche,Campeche,TENABO,15.65,17.42,16.72
Enero,7,Campeche,Campeche,CAMPECHE,15.65,17.42,16.72
Enero,8,Celaya,Guanajuato,ACAMBARO,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,SAN MIGUEL DE ALLENDE,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,TARIMORO,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,SALVATIERRA,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,APASEO EL ALTO,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,JARAL DEL PROGRESO,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,SANTA CRUZ DE JUVENTINO ROSAS,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,JERECUARO,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,COMONFORT,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,APASEO EL GRANDE,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,VILLAGRAN,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,CELAYA,16.09,17.86,17.16
Enero,8,Celaya,Guanajuato,CORTAZAR,16.09,17.86,17.16
Enero,9,Chihuahua,Chihuahua,AHUMADA,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,SAN FRANCISCO DE CONCHOS,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,GUERRERO_CHI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,CARICHI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,SAN FRANCISCO DE BORJA,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,COYAME DEL SOTOL,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,CAMARGO_CHI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,CUSIHUIRIACHI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,SATEVO,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,LA CRUZ,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,CUAUHTEMOC_CHI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,SAUCILLO,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,DR BELISARIO DOMINGUEZ,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,ROSALES,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,DELICIAS,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,GRAN MORELOS,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,MEOQUI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,JULIMES,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,SANTA BARBARA,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,ALDAMA_CHI,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,CHIHUAHUA,16.12,18.08,17.39
Enero,9,Chihuahua,Chihuahua,AQUILES SERDAN,16.12,18.08,17.39
Enero,10,Colima,Colima,COLIMA,16.14,17.9,17.21
Enero,10,Colima,Colima,COMALA,16.14,17.9,17.21
Enero,10,Colima,Colima,COQUIMATLAN,16.14,17.9,17.21
Enero,10,Colima,Colima,VILLA DE ALVAREZ,16.14,17.9,17.21
Enero,11,Cuautla,Puebla,TEHUITZINGO,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,TECOMATLAN,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,IZUCAR DE MATAMOROS,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,CHIETLA,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,EPATLAN,15.88,17.65,16.95
Enero,11,Cuautla,Puebla,TILAPA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,AXOCHIAPAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TETELA DEL VOLCAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TOTOLAPAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TLAYACAPAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TEPALCINGO,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,YECAPIXTLA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,YAUTEPEC,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,AYALA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,JANTETELCO,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,ATLATLAHUCAN,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,CUAUTLA,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,JONACATEPEC DE LEANDRO VALLE,15.88,17.65,16.95
Enero,11,Cuautla,Morelos,TEMOAC,15.88,17.65,16.95
Enero,11,Cuautla,México,TEPETLIXPA,15.88,17.65,16.95
Enero,12,Cuernavaca,Morelos,AMACUZAC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,MAZATEPEC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,JOJUTLA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,PUENTE DE IXTLA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,TLALTIZAPAN DE ZAPATA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,HUITZILAC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,ZACATEPEC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,MIACATLAN,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,TEPOZTLAN,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,XOCHITEPEC,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,CUERNAVACA,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,EMILIANO ZAPATA_MOR,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,TEMIXCO,15.93,17.7,17
Enero,12,Cuernavaca,Morelos,JIUTEPEC,15.93,17.7,17
Enero,13,Culiacan,Sinaloa,CULIACAN,16.24,18.01,17.34
Enero,13,Culiacan,Sinaloa,NAVOLATO,16.24,18.01,17.34
Enero,14,Durango,Durango,NUEVO IDEAL,16.27,18.04,17.28
Enero,14,Durango,Durango,SANTIAGO PAPASQUIARO,16.27,18.04,17.28
Enero,14,Durango,Durango,SAN JUAN DEL RIO_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,PUEBLO NUEVO_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,SUCHIL,16.27,18.04,17.28
Enero,14,Durango,Durango,MEZQUITAL,16.27,18.04,17.28
Enero,14,Durango,Durango,VICENTE GUERRERO_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,POANAS,16.27,18.04,17.28
Enero,14,Durango,Durango,GUADALUPE VICTORIA_DGO,16.27,18.04,17.28
Enero,14,Durango,Durango,NOMBRE DE DIOS,16.27,18.04,17.28
Enero,14,Durango,Durango,CANATLAN,16.27,18.04,17.28
Enero,14,Durango,Durango,PANUCO DE CORONADO,16.27,18.04,17.28
Enero,14,Durango,Durango,TOPIA,16.27,18.04,17.28
Enero,14,Durango,Durango,DURANGO,16.27,18.04,17.28
Enero,15,El Castillo,Jalisco,TUXCUECA,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ACATIC,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,TEPATITLAN DE MORELOS,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,OCOTLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,TOTOTLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZAPOTLAN DEL REY,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,JOCOTEPEC,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZACOALCO DE TORRES,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,PONCITLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZAPOTLANEJO,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,CHAPALA,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,ZAPOPAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,JUANACATLAN,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,IXTLAHUACAN DE LOS MEMBRILLOS,16.53,18.41,17.26
Enero,15,El Castillo,Jalisco,EL SALTO,16.53,18.41,17.26
Enero,16,Ensenada,Baja California,ENSENADA,16.16,17.93,17.28
Enero,17,Escamela,Veracruz,CUITLAHUAC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ZONGOLICA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,CHOCAMAN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ATOYAC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,SOLEDAD ATZOMPA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,YANGA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ACULTZINGO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,COSCOMATEPEC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,AMATLAN DE LOS REYES,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,TLILAPAN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,CORDOBA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,NOGALES_VER,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,ORIZABA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,CAMERINO Z MENDOZA,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,FORTIN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,HUILOAPAN DE CUAUHTEMOC,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,IXHUATLANCILLO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,IXTACZOQUITLAN,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,MARIANO ESCOBEDO,15.62,17.39,16.69
Enero,17,Escamela,Veracruz,RAFAEL DELGADO,15.62,17.39,16.69
